date,blog,keyword,seed,axis,score,source,event
2026-08-17,B,자동차 검사 사용법,자동차 검사,방법/절차,30.0,bank,
2026-08-17,C,건조기 취소 방법,건조기,오류/문제해결,39.0,bank,
2026-08-17,C,식기세척기 취소 방법,식기세척기,오류/문제해결,39.0,bank,
2026-08-17,C,안마의자 단점,안마의자,비교/대안,36.0,bank,
2026-08-17,D,개인회생 오류 해결,개인회생,오류/문제해결,81.2,bank,
2026-08-17,D,신용대출 전화번호,신용대출,연락처/창구,78.1,bank,
2026-08-18,N,4대보험 계산 접수처,4대보험 계산,연락처/창구,46.9,bank,
2026-08-18,N,여행자보험 문의처,여행자보험,연락처/창구,46.9,bank,
2026-08-18,N,국민연금 신청 자격,국민연금,자격/조건,43.1,bank,
2026-08-18,A,추석 기차표 예매 신분증,추석 기차표 예매,준비물/서류,129.2,calendar,KTX 추석 기차표 예매 시작
2026-08-18,A,SRT 추석 기차표 신청 실패,SRT 추석 기차표,오류/문제해결,124.9,calendar,SRT 추석 기차표 예매 시작
2026-08-18,A,SRT 추석 기차표 안될 때,SRT 추석 기차표,오류/문제해결,124.9,calendar,SRT 추석 기차표 예매 시작
2026-08-18,B,종합소득세 중간예납 고객센터,종합소득세 중간예납,연락처/창구,125.2,calendar,종합소득세 중간예납
2026-08-18,B,건강검진 항목 비용,건강검진 항목,계산/금액,33.0,bank,
2026-08-18,B,이사비용 견적 비용,이사비용 견적,계산/금액,33.0,bank,
2026-08-18,B,도배 장판 비용 계산 방법,도배 장판 비용,계산/금액,33.0,bank,
2026-08-18,B,누수 탐지 비용 얼마,누수 탐지 비용,계산/금액,33.0,bank,
2026-08-18,B,알뜰폰 요금제 하는 법,알뜰폰 요금제,방법/절차,30.0,bank,
2026-08-18,B,인터넷 결합할인 하는 법,인터넷 결합할인,방법/절차,30.0,bank,
2026-08-18,C,건조기 고장,건조기,오류/문제해결,39.0,bank,
2026-08-18,C,식기세척기 고장,식기세척기,오류/문제해결,39.0,bank,
2026-08-18,C,매트리스 비교,매트리스,비교/대안,36.0,bank,
2026-08-18,D,개인회생 신청 실패,개인회생,오류/문제해결,81.2,bank,
2026-08-18,D,신용대출 문의처,신용대출,연락처/창구,78.1,bank,
2026-08-19,N,4대보험 계산 위치,4대보험 계산,연락처/창구,46.9,bank,
2026-08-19,N,여행자보험 접수처,여행자보험,연락처/창구,46.9,bank,
2026-08-19,N,국민연금 제외 대상,국민연금,자격/조건,43.1,bank,
2026-08-19,A,추석 기차표 예매 위치,추석 기차표 예매,연락처/창구,130.8,calendar,KTX 추석 기차표 예매 시작
2026-08-19,A,추석 기차표 예매 전화번호,추석 기차표 예매,연락처/창구,130.8,calendar,KTX 추석 기차표 예매 시작
2026-08-19,A,SRT 추석 기차표 오류 해결,SRT 추석 기차표,오류/문제해결,126.6,calendar,SRT 추석 기차표 예매 시작
2026-08-19,B,종합소득세 중간예납 문의처,종합소득세 중간예납,연락처/창구,126.8,calendar,종합소득세 중간예납
2026-08-19,B,누수 탐지 비용 계산 방법,누수 탐지 비용,계산/금액,33.0,bank,
2026-08-19,B,전기차 충전요금 얼마,전기차 충전요금,계산/금액,33.0,bank,
2026-08-19,B,알뜰폰 요금제 사용법,알뜰폰 요금제,방법/절차,30.0,bank,
2026-08-19,B,인터넷 결합할인 사용법,인터넷 결합할인,방법/절차,30.0,bank,
2026-08-19,B,건강검진 항목 사용법,건강검진 항목,방법/절차,30.0,bank,
2026-08-19,B,이사비용 견적 하는 법,이사비용 견적,방법/절차,30.0,bank,
2026-08-19,C,건조기 AS,건조기,오류/문제해결,39.0,bank,
2026-08-19,C,식기세척기 AS,식기세척기,오류/문제해결,39.0,bank,
2026-08-19,C,매트리스 차이,매트리스,비교/대안,36.0,bank,
2026-08-19,D,개인회생 조회 안됨,개인회생,오류/문제해결,81.2,bank,
2026-08-19,D,신용대출 접수처,신용대출,연락처/창구,78.1,bank,
2026-08-20,N,여행자보험 위치,여행자보험,연락처/창구,46.9,bank,
2026-08-20,N,퇴직금 자격 조건,퇴직금,자격/조건,43.1,bank,
2026-08-20,N,기초연금 자격 조건,기초연금,자격/조건,43.1,bank,
2026-08-20,A,추석 기차표 예매 접수처,추석 기차표 예매,연락처/창구,132.5,calendar,KTX 추석 기차표 예매 시작
2026-08-20,A,SRT 추석 기차표 조회 안됨,SRT 추석 기차표,오류/문제해결,128.3,calendar,SRT 추석 기차표 예매 시작
2026-08-20,A,SRT 추석 기차표 취소 방법,SRT 추석 기차표,오류/문제해결,128.3,calendar,SRT 추석 기차표 예매 시작
2026-08-20,B,추석 선물세트 준비물,추석 선물세트,준비물/서류,78.5,calendar,추석 연휴 준비
2026-08-20,B,전기차 충전요금 계산 방법,전기차 충전요금,계산/금액,33.0,bank,
2026-08-20,B,이사비용 견적 사용법,이사비용 견적,방법/절차,30.0,bank,
2026-08-20,B,입주청소 비용 하는 법,입주청소 비용,방법/절차,30.0,bank,
2026-08-20,B,도배 장판 비용 하는 법,도배 장판 비용,방법/절차,30.0,bank,
2026-08-20,B,누수 탐지 비용 하는 법,누수 탐지 비용,방법/절차,30.0,bank,
2026-08-20,B,층간소음 비교,층간소음,비교/대안,27.0,bank,
2026-08-20,C,홍삼 선물 취소 방법,홍삼 선물,오류/문제해결,39.0,bank,
2026-08-20,C,책상 의자 취소 방법,책상 의자,오류/문제해결,39.0,bank,
2026-08-20,C,매트리스 추천,매트리스,비교/대안,36.0,bank,
2026-08-20,D,개인회생 취소 방법,개인회생,오류/문제해결,81.2,bank,
2026-08-20,D,신용대출 위치,신용대출,연락처/창구,78.1,bank,
2026-08-21,N,퇴직금 대상자,퇴직금,자격/조건,43.1,bank,
2026-08-21,N,기초연금 대상자,기초연금,자격/조건,43.1,bank,
2026-08-21,N,국민연금 얼마,국민연금,계산/금액,41.2,bank,
2026-08-21,A,SRT 추석 기차표 고객센터,SRT 추석 기차표,연락처/창구,125.8,calendar,SRT 추석 기차표 예매 시작
2026-08-21,A,고유가 지원금 구비서류,고유가 지원금,준비물/서류,139.8,calendar,고유가 피해지원금 포인트 사용 마감
2026-08-21,A,고유가 지원금 문의처,고유가 지원금,연락처/창구,139.8,calendar,고유가 피해지원금 포인트 사용 마감
2026-08-21,B,추석 선물세트 계산 방법,추석 선물세트,계산/금액,71.0,calendar,추석 연휴 준비
2026-08-21,B,전기차 충전요금 비용,전기차 충전요금,계산/금액,33.0,bank,
2026-08-21,B,입주청소 비용 사용법,입주청소 비용,방법/절차,30.0,bank,
2026-08-21,B,도배 장판 비용 사용법,도배 장판 비용,방법/절차,30.0,bank,
2026-08-21,B,누수 탐지 비용 사용법,누수 탐지 비용,방법/절차,30.0,bank,
2026-08-21,B,층간소음 차이,층간소음,비교/대안,27.0,bank,
2026-08-21,B,자동차 검사 비교,자동차 검사,비교/대안,27.0,bank,
2026-08-21,C,홍삼 선물 고장,홍삼 선물,오류/문제해결,39.0,bank,
2026-08-21,C,책상 의자 고장,책상 의자,오류/문제해결,39.0,bank,
2026-08-21,C,매트리스 순위,매트리스,비교/대안,36.0,bank,
2026-08-21,D,개인파산 안될 때,개인파산,오류/문제해결,81.2,bank,
2026-08-21,D,실손보험 고객센터,실손보험,연락처/창구,78.1,bank,
2026-08-22,N,퇴직금 신청 자격,퇴직금,자격/조건,43.1,bank,
2026-08-22,N,기초연금 소득 기준,기초연금,자격/조건,43.1,bank,
2026-08-22,N,국민연금 계산 방법,국민연금,계산/금액,41.2,bank,
2026-08-22,A,SRT 추석 기차표 구비서류,SRT 추석 기차표,준비물/서류,127.5,calendar,SRT 추석 기차표 예매 시작
2026-08-22,A,SRT 추석 기차표 문의처,SRT 추석 기차표,연락처/창구,127.5,calendar,SRT 추석 기차표 예매 시작
2026-08-22,A,근로장려금 지급 안될 때,근로장려금 지급,오류/문제해결,135.0,calendar,근로장려금 지급
2026-08-22,B,전기차 충전요금 하는 법,전기차 충전요금,방법/절차,30.0,bank,
2026-08-22,B,자동차 검사 차이,자동차 검사,비교/대안,27.0,bank,
2026-08-22,B,알뜰폰 요금제 비교,알뜰폰 요금제,비교/대안,27.0,bank,
2026-08-22,B,인터넷 결합할인 비교,인터넷 결합할인,비교/대안,27.0,bank,
2026-08-22,B,건강검진 항목 비교,건강검진 항목,비교/대안,27.0,bank,
2026-08-22,B,에어컨 전기요금 해결 방법,에어컨 전기요금,오류/문제해결,26.0,bank,
2026-08-22,B,전기요금 절약 해결 방법,전기요금 절약,오류/문제해결,26.0,bank,
2026-08-22,C,홍삼 선물 AS,홍삼 선물,오류/문제해결,39.0,bank,
2026-08-22,C,책상 의자 AS,책상 의자,오류/문제해결,39.0,bank,
2026-08-22,C,매트리스 후기,매트리스,비교/대안,36.0,bank,
2026-08-22,D,개인파산 오류 해결,개인파산,오류/문제해결,81.2,bank,
2026-08-22,D,실손보험 전화번호,실손보험,연락처/창구,78.1,bank,
2026-08-23,N,퇴직금 제외 대상,퇴직금,자격/조건,43.1,bank,
2026-08-23,N,기초연금 신청 자격,기초연금,자격/조건,43.1,bank,
2026-08-23,N,국민연금 금액,국민연금,계산/금액,41.2,bank,
2026-08-23,A,SRT 추석 기차표 신분증,SRT 추석 기차표,준비물/서류,129.2,calendar,SRT 추석 기차표 예매 시작
2026-08-23,A,고유가 지원금 신분증,고유가 지원금,준비물/서류,144.0,calendar,고유가 피해지원금 포인트 사용 마감
2026-08-23,A,근로장려금 지급 오류 해결,근로장려금 지급,오류/문제해결,135.0,calendar,근로장려금 지급
2026-08-23,B,추석 선물세트 얼마,추석 선물세트,계산/금액,71.0,calendar,추석 연휴 준비
2026-08-23,B,전기차 충전요금 사용법,전기차 충전요금,방법/절차,30.0,bank,
2026-08-23,B,알뜰폰 요금제 차이,알뜰폰 요금제,비교/대안,27.0,bank,
2026-08-23,B,인터넷 결합할인 차이,인터넷 결합할인,비교/대안,27.0,bank,
2026-08-23,B,건강검진 항목 차이,건강검진 항목,비교/대안,27.0,bank,
2026-08-23,B,이사비용 견적 비교,이사비용 견적,비교/대안,27.0,bank,
2026-08-23,B,장마철 습기 제거 해결 방법,장마철 습기 제거,오류/문제해결,26.0,bank,
2026-08-23,C,러닝화 취소 방법,러닝화,오류/문제해결,39.0,bank,
2026-08-23,C,캠핑 텐트 취소 방법,캠핑 텐트,오류/문제해결,39.0,bank,
2026-08-23,C,매트리스 단점,매트리스,비교/대안,36.0,bank,
2026-08-23,D,개인파산 신청 실패,개인파산,오류/문제해결,81.2,bank,
2026-08-23,D,실손보험 문의처,실손보험,연락처/창구,78.1,bank,
2026-08-24,N,기초연금 제외 대상,기초연금,자격/조건,43.1,bank,
2026-08-24,N,4대보험 계산 자격 조건,4대보험 계산,자격/조건,43.1,bank,
2026-08-24,N,국민연금 수수료,국민연금,계산/금액,41.2,bank,
2026-08-24,A,SRT 추석 기차표 위치,SRT 추석 기차표,연락처/창구,130.8,calendar,SRT 추석 기차표 예매 시작
2026-08-24,A,SRT 추석 기차표 전화번호,SRT 추석 기차표,연락처/창구,130.8,calendar,SRT 추석 기차표 예매 시작
2026-08-24,A,근로장려금 지급 조회 안됨,근로장려금 지급,오류/문제해결,135.0,calendar,근로장려금 지급
2026-08-24,B,주민세 납부 신청 실패,주민세 납부,오류/문제해결,118.9,calendar,주민세 납부
2026-08-24,B,이사비용 견적 차이,이사비용 견적,비교/대안,27.0,bank,
2026-08-24,B,입주청소 비용 비교,입주청소 비용,비교/대안,27.0,bank,
2026-08-24,B,도배 장판 비용 비교,도배 장판 비용,비교/대안,27.0,bank,
2026-08-24,B,누수 탐지 비용 비교,누수 탐지 비용,비교/대안,27.0,bank,
2026-08-24,B,모기 퇴치 해결 방법,모기 퇴치,오류/문제해결,26.0,bank,
2026-08-24,B,음식물쓰레기 처리 해결 방법,음식물쓰레기 처리,오류/문제해결,26.0,bank,
2026-08-24,C,러닝화 고장,러닝화,오류/문제해결,39.0,bank,
2026-08-24,C,캠핑 텐트 고장,캠핑 텐트,오류/문제해결,39.0,bank,
2026-08-24,C,골프채 비교,골프채,비교/대안,36.0,bank,
2026-08-24,D,개인파산 조회 안됨,개인파산,오류/문제해결,81.2,bank,
2026-08-24,D,실손보험 접수처,실손보험,연락처/창구,78.1,bank,
2026-08-25,N,4대보험 계산 대상자,4대보험 계산,자격/조건,43.1,bank,
2026-08-25,N,여행자보험 자격 조건,여행자보험,자격/조건,43.1,bank,
2026-08-25,N,국민연금 세금,국민연금,계산/금액,41.2,bank,
2026-08-25,A,SRT 추석 기차표 접수처,SRT 추석 기차표,연락처/창구,132.5,calendar,SRT 추석 기차표 예매 시작
2026-08-25,A,고유가 지원금 위치,고유가 지원금,연락처/창구,148.1,calendar,고유가 피해지원금 포인트 사용 마감
2026-08-25,A,근로장려금 지급 취소 방법,근로장려금 지급,오류/문제해결,135.0,calendar,근로장려금 지급
2026-08-25,B,추석 선물세트 하는 법,추석 선물세트,방법/절차,66.0,calendar,추석 연휴 준비
2026-08-25,B,주민세 납부 안될 때,주민세 납부,오류/문제해결,120.6,calendar,주민세 납부
2026-08-25,B,벌초 대행 준비물,벌초 대행,준비물/서류,74.5,calendar,추석 벌초 성묘
2026-08-25,B,입주청소 비용 차이,입주청소 비용,비교/대안,27.0,bank,
2026-08-25,B,도배 장판 비용 차이,도배 장판 비용,비교/대안,27.0,bank,
2026-08-25,B,누수 탐지 비용 차이,누수 탐지 비용,비교/대안,27.0,bank,
2026-08-25,B,전기차 충전요금 비교,전기차 충전요금,비교/대안,27.0,bank,
2026-08-25,C,러닝화 AS,러닝화,오류/문제해결,39.0,bank,
2026-08-25,C,캠핑 텐트 AS,캠핑 텐트,오류/문제해결,39.0,bank,
2026-08-25,C,골프채 차이,골프채,비교/대안,36.0,bank,
2026-08-25,D,개인파산 취소 방법,개인파산,오류/문제해결,81.2,bank,
2026-08-25,D,실손보험 위치,실손보험,연락처/창구,78.1,bank,
2026-08-26,N,4대보험 계산 신청 자격,4대보험 계산,자격/조건,43.1,bank,
2026-08-26,N,여행자보험 대상자,여행자보험,자격/조건,43.1,bank,
2026-08-26,N,퇴직금 얼마,퇴직금,계산/금액,41.2,bank,
2026-08-26,A,근로장려금 지급 고객센터,근로장려금 지급,연락처/창구,130.5,calendar,근로장려금 지급
2026-08-26,A,근로장려금 지급 구비서류,근로장려금 지급,준비물/서류,130.5,calendar,근로장려금 지급
2026-08-26,A,근로장려금 지급 문의처,근로장려금 지급,연락처/창구,130.5,calendar,근로장려금 지급
2026-08-26,B,청년도약계좌 조회 안됨,청년도약계좌,오류/문제해결,126.3,calendar,청년도약계좌 갈아타기
2026-08-26,B,벌초 대행 계산 방법,벌초 대행,계산/금액,67.0,calendar,추석 벌초 성묘
2026-08-26,B,전기차 충전요금 차이,전기차 충전요금,비교/대안,27.0,bank,
2026-08-26,B,운전면허 갱신 해결 방법,운전면허 갱신,오류/문제해결,26.0,bank,
2026-08-26,B,여권 발급 해결 방법,여권 발급,오류/문제해결,26.0,bank,
2026-08-26,B,주민등록등본 발급 해결 방법,주민등록등본 발급,오류/문제해결,26.0,bank,
2026-08-26,B,에어컨 전기요금 비용,에어컨 전기요금,계산/금액,22.0,bank,
2026-08-26,C,추석 선물세트 비교,추석 선물세트,비교/대안,61.0,calendar,추석 연휴 준비
2026-08-26,C,자전거 취소 방법,자전거,오류/문제해결,39.0,bank,
2026-08-26,C,등산화 취소 방법,등산화,오류/문제해결,39.0,bank,
2026-08-26,D,실손보험 안될 때,실손보험,오류/문제해결,81.2,bank,
2026-08-26,D,개인파산 고객센터,개인파산,연락처/창구,78.1,bank,
2026-08-27,N,4대보험 계산 제외 대상,4대보험 계산,자격/조건,43.1,bank,
2026-08-27,N,여행자보험 신청 자격,여행자보험,자격/조건,43.1,bank,
2026-08-27,N,퇴직금 계산 방법,퇴직금,계산/금액,41.2,bank,
2026-08-27,A,고유가 지원금 전화번호,고유가 지원금,연락처/창구,152.3,calendar,고유가 피해지원금 포인트 사용 마감
2026-08-27,A,근로장려금 지급 신분증,근로장려금 지급,준비물/서류,130.5,calendar,근로장려금 지급
2026-08-27,A,건강보험료 정산 신청 실패,건강보험료 정산,오류/문제해결,164.2,calendar,건강보험료 정산
2026-08-27,B,청년도약계좌 취소 방법,청년도약계좌,오류/문제해결,128.1,calendar,청년도약계좌 갈아타기
2026-08-27,B,주민세 납부 오류 해결,주민세 납부,오류/문제해결,124.1,calendar,주민세 납부
2026-08-27,B,전입신고 해결 방법,전입신고,오류/문제해결,26.0,bank,
2026-08-27,B,모바일 신분증 해결 방법,모바일 신분증,오류/문제해결,26.0,bank,
2026-08-27,B,전기요금 절약 얼마,전기요금 절약,계산/금액,22.0,bank,
2026-08-27,B,장마철 습기 제거 얼마,장마철 습기 제거,계산/금액,22.0,bank,
2026-08-27,B,태풍 대비 얼마,태풍 대비,계산/금액,22.0,bank,
2026-08-27,C,자전거 고장,자전거,오류/문제해결,39.0,bank,
2026-08-27,C,등산화 고장,등산화,오류/문제해결,39.0,bank,
2026-08-27,C,골프채 추천,골프채,비교/대안,36.0,bank,
2026-08-27,D,실손보험 오류 해결,실손보험,오류/문제해결,81.2,bank,
2026-08-27,D,개인파산 전화번호,개인파산,연락처/창구,78.1,bank,
2026-08-28,N,여행자보험 제외 대상,여행자보험,자격/조건,43.1,bank,
2026-08-28,N,퇴직금 금액,퇴직금,계산/금액,41.2,bank,
2026-08-28,N,기초연금 얼마,기초연금,계산/금액,41.2,bank,
2026-08-28,A,건강보험료 정산 안될 때,건강보험료 정산,오류/문제해결,164.2,calendar,건강보험료 정산
2026-08-28,A,건강보험료 정산 오류 해결,건강보험료 정산,오류/문제해결,164.2,calendar,건강보험료 정산
2026-08-28,A,건강보험료 정산 조회 안됨,건강보험료 정산,오류/문제해결,164.2,calendar,건강보험료 정산
2026-08-28,B,청년도약계좌 고객센터,청년도약계좌,연락처/창구,125.5,calendar,청년도약계좌 갈아타기
2026-08-28,B,추석 선물세트 차이,추석 선물세트,비교/대안,63.4,calendar,추석 연휴 준비
2026-08-28,B,주민세 납부 조회 안됨,주민세 납부,오류/문제해결,125.8,calendar,주민세 납부
2026-08-28,B,벌초 대행 얼마,벌초 대행,계산/금액,69.9,calendar,추석 벌초 성묘
2026-08-28,B,유심 교체 해결 방법,유심 교체,오류/문제해결,26.0,bank,
2026-08-28,B,독감 예방접종 해결 방법,독감 예방접종,오류/문제해결,26.0,bank,
2026-08-28,B,하이패스 미납 해결 방법,하이패스 미납,오류/문제해결,26.0,bank,
2026-08-28,C,자전거 AS,자전거,오류/문제해결,39.0,bank,
2026-08-28,C,등산화 AS,등산화,오류/문제해결,39.0,bank,
2026-08-28,C,골프채 순위,골프채,비교/대안,36.0,bank,
2026-08-28,D,실손보험 신청 실패,실손보험,오류/문제해결,81.2,bank,
2026-08-28,D,개인파산 문의처,개인파산,연락처/창구,78.1,bank,
2026-08-29,N,퇴직금 수수료,퇴직금,계산/금액,41.2,bank,
2026-08-29,N,기초연금 계산 방법,기초연금,계산/금액,41.2,bank,
2026-08-29,N,근로장려금 안될 때,근로장려금,오류/문제해결,39.0,bank,
2026-08-29,A,고유가 지원금 접수처,고유가 지원금,연락처/창구,156.5,calendar,고유가 피해지원금 포인트 사용 마감
2026-08-29,A,건강보험료 정산 취소 방법,건강보험료 정산,오류/문제해결,164.2,calendar,건강보험료 정산
2026-08-29,A,건강보험료 정산 고객센터,건강보험료 정산,연락처/창구,158.6,calendar,건강보험료 정산
2026-08-29,B,청년도약계좌 문의처,청년도약계좌,연락처/창구,127.2,calendar,청년도약계좌 갈아타기
2026-08-29,B,과태료 조회 해결 방법,과태료 조회,오류/문제해결,26.0,bank,
2026-08-29,B,전기요금 절약 계산 방법,전기요금 절약,계산/금액,22.0,bank,
2026-08-29,B,장마철 습기 제거 계산 방법,장마철 습기 제거,계산/금액,22.0,bank,
2026-08-29,B,태풍 대비 계산 방법,태풍 대비,계산/금액,22.0,bank,
2026-08-29,B,온열질환 얼마,온열질환,계산/금액,22.0,bank,
2026-08-29,B,에어컨 전기요금 사용법,에어컨 전기요금,방법/절차,20.0,bank,
2026-08-29,C,유모차 취소 방법,유모차,오류/문제해결,39.0,bank,
2026-08-29,C,카시트 취소 방법,카시트,오류/문제해결,39.0,bank,
2026-08-29,C,골프채 후기,골프채,비교/대안,36.0,bank,
2026-08-29,D,실손보험 조회 안됨,실손보험,오류/문제해결,81.2,bank,
2026-08-29,D,개인파산 접수처,개인파산,연락처/창구,78.1,bank,
2026-08-30,N,퇴직금 세금,퇴직금,계산/금액,41.2,bank,
2026-08-30,N,기초연금 금액,기초연금,계산/금액,41.2,bank,
2026-08-30,N,근로장려금 오류 해결,근로장려금,오류/문제해결,39.0,bank,
2026-08-30,A,건강보험료 정산 문의처,건강보험료 정산,연락처/창구,158.6,calendar,건강보험료 정산
2026-08-30,A,건강보험료 정산 위치,건강보험료 정산,연락처/창구,158.6,calendar,건강보험료 정산
2026-08-30,A,건강보험료 정산 전화번호,건강보험료 정산,연락처/창구,158.6,calendar,건강보험료 정산
2026-08-30,B,청년도약계좌 위치,청년도약계좌,연락처/창구,128.8,calendar,청년도약계좌 갈아타기
2026-08-30,B,주민세 납부 취소 방법,주민세 납부,오류/문제해결,129.3,calendar,주민세 납부
2026-08-30,B,벌초 대행 하는 법,벌초 대행,방법/절차,67.3,calendar,추석 벌초 성묘
2026-08-30,B,전기요금 절약 비용,전기요금 절약,계산/금액,22.0,bank,
2026-08-30,B,장마철 습기 제거 비용,장마철 습기 제거,계산/금액,22.0,bank,
2026-08-30,B,태풍 대비 비용,태풍 대비,계산/금액,22.0,bank,
2026-08-30,B,온열질환 계산 방법,온열질환,계산/금액,22.0,bank,
2026-08-30,C,추석 선물세트 추천,추석 선물세트,비교/대안,65.8,calendar,추석 연휴 준비
2026-08-30,C,유모차 고장,유모차,오류/문제해결,39.0,bank,
2026-08-30,C,카시트 고장,카시트,오류/문제해결,39.0,bank,
2026-08-30,D,실손보험 취소 방법,실손보험,오류/문제해결,81.2,bank,
2026-08-30,D,개인파산 위치,개인파산,연락처/창구,78.1,bank,
2026-08-31,N,기초연금 지급일,기초연금,계산/금액,41.2,bank,
2026-08-31,N,등기부등본 수수료,등기부등본,계산/금액,41.2,bank,
2026-08-31,N,근로장려금 신청 실패,근로장려금,오류/문제해결,39.0,bank,
2026-08-31,A,청년도약계좌 신청 실패,청년도약계좌,오류/문제해결,135.0,calendar,청년도약계좌 갈아타기
2026-08-31,A,청년도약계좌 안될 때,청년도약계좌,오류/문제해결,135.0,calendar,청년도약계좌 갈아타기
2026-08-31,A,청년도약계좌 오류 해결,청년도약계좌,오류/문제해결,135.0,calendar,청년도약계좌 갈아타기
2026-08-31,B,청년도약계좌 전화번호,청년도약계좌,연락처/창구,130.5,calendar,청년도약계좌 갈아타기
2026-08-31,B,온열질환 비용,온열질환,계산/금액,22.0,bank,
2026-08-31,B,모기 퇴치 얼마,모기 퇴치,계산/금액,22.0,bank,
2026-08-31,B,음식물쓰레기 처리 얼마,음식물쓰레기 처리,계산/금액,22.0,bank,
2026-08-31,B,운전면허 갱신 얼마,운전면허 갱신,계산/금액,22.0,bank,
2026-08-31,B,전기요금 절약 하는 법,전기요금 절약,방법/절차,20.0,bank,
2026-08-31,B,장마철 습기 제거 하는 법,장마철 습기 제거,방법/절차,20.0,bank,
2026-08-31,C,유모차 AS,유모차,오류/문제해결,39.0,bank,
2026-08-31,C,카시트 AS,카시트,오류/문제해결,39.0,bank,
2026-08-31,C,골프채 단점,골프채,비교/대안,36.0,bank,
2026-08-31,D,암보험 안될 때,암보험,오류/문제해결,81.2,bank,
2026-08-31,D,도수치료 실비 고객센터,도수치료 실비,연락처/창구,78.1,bank,
